Financial_feasibility,AC_sw_suitability,geometry,X,Y
0.3536609052552221,0.6243252855295868,"c(149.886261808162, -37.0859386972898)",149.88626180816183,-37.08593869728977
0.29526759674734104,0.6557909656409797,"c(149.791155785782, -37.5567932742541)",149.79115578578217,-37.5567932742541
0.26001057574593894,0.6669880273341581,"c(149.81377268745, -37.5562560224157)",149.8137726874498,-37.5562560224157
0.25965235461713415,0.7202687743432894,"c(149.83638898614, -37.5557144448718)",149.8363889861405,-37.5557144448718
0.2586089643161242,0.7671772738710964,"c(149.859004677036, -37.5551685419806)",149.8590046770362,-37.55516854198062
0.2648907856694965,0.7705273104273198,"c(149.88161975532, -37.5546183141032)",149.8816197553198,-37.55461831410321
0.30900182747084437,0.7705273104273198,"c(149.904234216175, -37.5540637616035)",149.90423421617493,-37.55406376160346
0.3254069973220696,0.6557909656409797,"c(149.769205284982, -37.5753322283762)",149.76920528498152,-37.5753322283762
0.3647318850149645,0.6557909656409797,"c(149.79182821665, -37.5747989581012)",149.79182821664972,-37.5747989581012
0.34956758482704614,0.6658620841618449,"c(149.814450549597, -37.5742613589738)",149.81445054959678,-37.574261358973764
0.34952774830978356,0.7177658759833777,"c(149.837072278999, -37.5737194313496)",149.83707227899944,-37.573719431349645
0.34975219538566676,0.7670528620745054,"c(149.859693400035, -37.5731731755874)",149.85969340003518,-37.573173175587385
0.3533925528491492,0.7705273104273198,"c(149.882313907882, -37.5726225920484)",149.88231390788238,-37.5726225920484
0.3546306784293192,0.7705273104273198,"c(149.90493379772, -37.5720676810969)",149.9049337977202,-37.57206768109694
0.3684923197715733,0.6557909656409797,"c(149.769872877904, -37.5933381915436)",149.76987287790394,-37.59333819154356
0.349164251917707,0.6557909656409797,"c(149.792501246239, -37.5928045766078)",149.79250124623854,-37.592804576607826
0.34808880788695196,0.659237621033078,"c(149.815129015288, -37.5922666300268)",149.81512901528828,-37.59226663002681
0.3488071426156904,0.6857197169089994,"c(149.837756180225, -37.5917243521566)",149.83775618022543,-37.5917243521566
0.34935780440241154,0.6557909656409797,"c(149.770541065283, -37.6113440895134)",149.77054106528269,-37.61134408951338
0.34545347087234174,0.6557909656409797,"c(149.793174875112, -37.6108101297535)",149.79317487511233,-37.6108101297535
0.33463374031084514,0.6557909656409797,"c(149.815808085093, -37.6102718355542)",149.81580808509258,-37.61027183555415
