Financial_feasibility,AC_fish_suitability,geometry,X,Y
0.29526759674734104,0.4623027493592859,"c(149.791155785782, -37.5567932742541)",149.79115578578217,-37.5567932742541
0.3647318850149645,0.4322587612722069,"c(149.79182821665, -37.5747989581012)",149.79182821664972,-37.5747989581012
0.34956758482704614,0.4518228679900476,"c(149.814450549597, -37.5742613589738)",149.81445054959678,-37.574261358973764
0.3684923197715733,0.38464861452063787,"c(149.769872877904, -37.5933381915436)",149.76987287790394,-37.59333819154356
0.34978316094451284,0.4001960564409941,"c(149.747906660437, -37.6118737144803)",149.74790666043683,-37.61187371448026
0.3484206290435091,0.4906063211587268,"c(149.748569995943, -37.6298798894242)",149.748569995943,-37.62987988942418
0.3536746493267955,0.5179960705637038,"c(149.72658802743, -37.6484119680683)",149.72658802742998,-37.648411968068274
0.34937329900977915,0.5014600389620639,"c(149.749233922188, -37.6478859992925)",149.74923392218787,-37.647885999292455
0.35285809534646895,0.4839852625370202,"c(149.727247087842, -37.6664183525591)",149.72724708784236,-37.66641835255907
0.36566853994430654,0.506623135490785,"c(149.615880298652, -37.7230084680641)",149.6158802986522,-37.72300846806405
0.28827160410171376,0.4121629760703145,"c(149.548482570475, -37.7425077804161)",149.54848257047465,-37.74250778041611
0.34389525745661353,0.49235919866083483,"c(149.571160376883, -37.7420149617578)",149.57116037688291,-37.742014961757775
0.2833958178294199,0.5169119449048171,"c(149.593837628153, -37.7415177856331)",149.59383762815293,-37.74151778563306
0.35503486295066633,0.5316909452661923,"c(149.616514319413, -37.7410162523721)",149.61651431941266,-37.74101625237213
0.36826120173496085,0.3926611754248236,"c(149.526416857521, -37.7610052392504)",149.52641685752053,-37.7610052392504
0.3558835179725162,0.4114069957258034,"c(149.54910070046, -37.760516463122)",149.54910070046037,-37.76051646312203
0.35525483906350763,0.5150718389014194,"c(149.571783992614, -37.7600233263916)",149.57178399261414,-37.760023326391604
0.35535478519500074,0.5672095602437414,"c(149.594466729104, -37.7595258293867)",149.59446672910448,-37.75952582938669
0.2565579750743289,0.5210573755851579,"c(148.9142274909, -37.7905691565484)",148.91422749090037,-37.79056915654836
0.257936380076926,0.6044644377707719,"c(148.93692986233, -37.7901979905157)",148.93692986232998,-37.79019799051567
0.258779736179615,0.7649565726675722,"c(148.959631814526, -37.7898224533102)",148.95963181452586,-37.789822453310244
0.26458974082467246,0.7270786344170436,"c(148.982333342588, -37.7894425451819)",148.98233334258828,-37.78944254518188
0.28555720910569526,0.6714102356415657,"c(149.005034441618, -37.7890582663833)",149.0050344416179,-37.789058266383314
0.26155700852889,0.4141650778618218,"c(149.368189682192, -37.7823156118971)",149.36818968219242,-37.78231561189711
0.2638093566987964,0.39744628178128905,"c(149.413575278037, -37.7813941688289)",149.41357527803734,-37.78139416882894
0.2741213136005297,0.5010612800990251,"c(149.458958785882, -37.7804552644892)",149.45895878588232,-37.78045526448921
0.31242649053741456,0.4962969424333429,"c(149.481649744589, -37.7799792651208)",149.4816497445894,-37.779979265120765
0.35558961720620363,0.4041545689042854,"c(149.549719381232, -37.778525082026)",149.54971938123228,-37.77852508202598
0.24495487974492824,0.6530590204654679,"c(148.551313511104, -37.8139329174725)",148.55131351110364,-37.8139329174725
0.2451650623196777,0.6679044806373495,"c(148.574027437561, -37.8136315273895)",148.57402743756137,-37.81363152738954
0.2741953565334465,0.717358887130473,"c(148.755726157479, -37.8110628306835)",148.75572615747853,-37.81106283068347
0.3466146438452344,0.7206735701794831,"c(148.778436837334, -37.8107220497962)",148.77843683733394,-37.810722049796176
0.32592323979013454,0.7306674641843928,"c(148.801147131905, -37.8103768932483)",148.80114713190494,-37.81037689324826
